Province,Year,FDI
Binh Thuan ,2020,239.77674
Vinh Long ,2020,115.73195893802186
Ninh Binh ,2020,131.57255659808902
Quang Ngai ,2020,-135.2861420000198
Ninh Thuan ,2020,4000
Bac Lieu ,2020,52.149749
Soc Trang ,2020,117.49087134681933
Tra Vinh ,2020,44.99888170477232
Binh Dinh ,2020,40.81557237186881
Ca Mau ,2020,5.081776706550745
Hau Giang ,2020,43.62073052247224
Can Tho ,2020,90.8874592883705
Thai Binh ,2020,5.69772871171559
An Giang ,2020,97.90834295665812
Nam Dinh ,2020,568.7019646499957
Ben Tre ,2020,15.573274920332267
Ha Tinh ,2020,18.336143923043807
Lam Dong ,2020,14.316927778256007
Kien Giang ,2020,20.17450488370195
Quang Tri ,2020,14.295752049324266
Tuyen Quang ,2020,16.209744175690805
Dong Thap ,2020,8.281896250150647
Yen Bai ,2020,0.3086425066712571
Kon Tum ,2020,
Bac Kan ,2020,4.052247
Dak Lak ,2020,
Lang Son ,2020,0.115132994749075
Dien Bien ,2020,7.6545842472239
Lao Cai ,2020,284.263186308083
Quang Binh ,2020,
Ha Giang ,2020,0.878927433933029
Son La ,2020,149.758729617285
Dak Nong ,2020,0.084090746061806
Cao Bang ,2020,
Lai Chau ,2020,24.278569242145142
Hoa Binh ,2020,8.29306143737626
Gia Lai ,2020,28530.10111842292
Ha Noi ,2021,3738.125749672813
Ho Chi Minh ,2021,2133.1265517759375
Binh Duong ,2021,1359.68377729
Dong Nai ,2021,1662.7748045381247
Bac Ninh ,2021,5262.24079094
Hai Phong ,2021,823.47578358
Tay Ninh ,2021,1314.1445436
Bac Giang ,2021,398.16488896
Ba Ria - Vung Tau ,2021,307.87717633
Ha Nam ,2021,3842.97919844
Long An ,2021,331.60164082999995
Hai Duong ,2021,220.29868272000002
Thai Nguyen ,2021,744.0300528800001
Vinh Phuc ,2021,172.3416270375
Da Nang ,2021,712.1321180696875
Hung Yen ,2021,450.37159878
Binh Phuoc ,2021,137.92432889
Tien Giang ,2021,192.83717508
Thanh Hoa ,2021,577.38391975
Phu Tho ,2021,183.48306097000003
Thua Thien Hue ,2021,318.52280305
Nghe An ,2021,1156.66384569
Quang Ninh ,2021,1.109319
Phu Yen ,2021,37.782636059999994
Khanh Hoa ,2021,39.95522759
Quang Nam ,2021,14.450288709999999
Binh Thuan ,2021,50.30852616625
Vinh Long ,2021,156.84436101
Ninh Binh ,2021,42.01
Quang Ngai ,2021,78.75700603
Ninh Thuan ,2021,0.20509320000000003
Bac Lieu ,2021,0.5
Soc Trang ,2021,12.05140719
Tra Vinh ,2021,113.89272788
Binh Dinh ,2021,35.33818763
Ca Mau ,2021,154.03833357
Hau Giang ,2021,1327.2736051200002
Can Tho ,2021,462.63935593
Thai Binh ,2021,11.93827
An Giang ,2021,149.07531504
Nam Dinh ,2021,-16.10127337000001
Ben Tre ,2021,11.75114219
Ha Tinh ,2021,12.58686657
Lam Dong ,2021,6.387289430000001
Kien Giang ,2021,102.78277199
Quang Tri ,2021,-12.70619515
Tuyen Quang ,2021,47.71232058
Dong Thap ,2021,55.2677044
Yen Bai ,2021,153.39420643
Kon Tum ,2021,
Bac Kan ,2021,455.09968200000003
Dak Lak ,2021,5.99618698
Lang Son ,2021,
Dien Bien ,2021,11.49665341
Lao Cai ,2021,56.07991867
Quang Binh ,2021,
Ha Giang ,2021,
Son La ,2021,7.64548
Dak Nong ,2021,0.8633341999999999
Cao Bang ,2021,0.54577154
Lai Chau ,2021,0.12017741
Hoa Binh ,2021,1.60919639
Gia Lai ,2021,31153.339107871103
Ha Noi ,2022,3940.404276585704
Ho Chi Minh ,2022,3142.6715362700006
Binh Duong ,2022,1252.09297320375
Dong Nai ,2022,2243.899656687506
Bac Ninh ,2022,1963.2263876287502
Hai Phong ,2022,698.3215594475
Tay Ninh ,2022,1214.62836576
Bac Giang ,2022,954.2261618478907
Ba Ria - Vung Tau ,2022,528.2107882549999
Ha Nam ,2022,846.3789567357812
Long An ,2022,370.60772176875
Hai Duong ,2022,1545.6240420000001
Thai Nguyen ,2022,244.52365108
Vinh Phuc ,2022,133.9937122590625
Da Nang ,2022,746.09965936625
Hung Yen ,2022,225.89348847999696
Binh Phuoc ,2022,221.760503
Tien Giang ,2022,97.50775938
Thanh Hoa ,2022,700.6700799500001
Phu Tho ,2022,197.497095
Thua Thien Hue ,2022,890.6747795599999
Nghe An ,2022,2368.16045485
Quang Ninh ,2022,1.82677172
Phu Yen ,2022,8.688382050000001
Khanh Hoa ,2022,79.24565243
Quang Nam ,2022,24.78853402
Binh Thuan ,2022,155.95365298859372
Vinh Long ,2022,67.3707602
Ninh Binh ,2022,86.92365427
Quang Ngai ,2022,87.56493067
Ninh Thuan ,2022,-60.945119999999996
Bac Lieu ,2022,116.3755173
Soc Trang ,2022,3.030078
Tra Vinh ,2022,34.20988325
Binh Dinh ,2022,0.14466173
Ca Mau ,2022,0.29005339
Hau Giang ,2022,185.97081871000003
Can Tho ,2022,307.86528792
Thai Binh ,2022,24.63692053
An Giang ,2022,57.59808527
Nam Dinh ,2022,2.863401
Ben Tre ,2022,276.12803625
Ha Tinh ,2022,-6.314585232500001
Lam Dong ,2022,4.66801689
Kien Giang ,2022,0.4681614
Quang Tri ,2022,0.86432255
Tuyen Quang ,2022,
Dong Thap ,2022,9.708587940000001
Yen Bai ,2022,0.57247375
Kon Tum ,2022,
Bac Kan ,2022,10.834137270000001
Dak Lak ,2022,1.7231723600000002
Lang Son ,2022,
Dien Bien ,2022,
Lao Cai ,2022,
Quang Binh ,2022,
Ha Giang ,2022,
Son La ,2022,0.61715528
Dak Nong ,2022,
Cao Bang ,2022,
Lai Chau ,2022,1.44189385
Hoa Binh ,2022,0.10765653
Gia Lai ,2022,27718.130307010862
Ha Noi ,2023,5851.950882490772
Ho Chi Minh ,2023,1573.9301091462476
Binh Duong ,2023,1514.1764500018753
Dong Nai ,2023,1769.7446368022656
Bac Ninh ,2023,3262.3127726800003
Hai Phong ,2023,656.855543015
Tay Ninh ,2023,3015.63871942
Bac Giang ,2023,1039.56868394
Ba Ria - Vung Tau ,2023,715.5548266675
Ha Nam ,2023,753.3266079601561
Long An ,2023,1216.72882781
Hai Duong ,2023,339.16932117749997
Thai Nguyen ,2023,302.67358232
Vinh Phuc ,2023,182.16178832054686
Da Nang ,2023,928.5355314349999
Hung Yen ,2023,757.5767165599998
Binh Phuoc ,2023,35.53648594
Tien Giang ,2023,313.85914656
Thanh Hoa ,2023,291.54550612
Phu Tho ,2023,44.636199
Thua Thien Hue ,2023,1603.28736787
Nghe An ,2023,3110.5718089300003
Quang Ninh ,2023,3.9417828
Phu Yen ,2023,48.76525384999999
Khanh Hoa ,2023,11.82830163
Quang Nam ,2023,12.94806706
Binh Thuan ,2023,79.04083855
Vinh Long ,2023,123.46122799999999
Ninh Binh ,2023,248.072179
Quang Ngai ,2023,166.15265134999999
Ninh Thuan ,2023,179.846984
Bac Lieu ,2023,91.256312
Soc Trang ,2023,17.39728598
Tra Vinh ,2023,70.430615
Binh Dinh ,2023,1.3553246399999999
Ca Mau ,2023,1.03643156
Hau Giang ,2023,60.59665046999999
Can Tho ,2023,2790.63348551
Thai Binh ,2023,0.36775621999999997
An Giang ,2023,429.34943289
Nam Dinh ,2023,8.29089716
Ben Tre ,2023,73.746344
Ha Tinh ,2023,12.781145350000001
Lam Dong ,2023,5.143747930000001
Kien Giang ,2023,0.60106383
Quang Tri ,2023,20.827045000000002
Tuyen Quang ,2023,0.47383473
Dong Thap ,2023,35.67249774
Yen Bai ,2023,
Kon Tum ,2023,25
Bac Kan ,2023,61.736113
Dak Lak ,2023,10.10175646
Lang Son ,2023,
Dien Bien ,2023,0.16338176000000001
Lao Cai ,2023,0.82793226
Quang Binh ,2023,
Ha Giang ,2023,
Son La ,2023,
Dak Nong ,2023,
Cao Bang ,2023,
Lai Chau ,2023,0.84445195
Hoa Binh ,2023,2.6153740899999995
Gia Lai ,2023,36607.62694482881
Ha Noi ,2024,1120.9957385311916
Ho Chi Minh ,2024,669.1185337799999
Binh Duong ,2024,937.4714991098697
Dong Nai ,2024,2577.492734575
Bac Ninh ,2024,1137.32609322
Hai Phong ,2024,215.80248188249996
Tay Ninh ,2024,764.2162611625
Bac Giang ,2024,1535.5522130799998
Ba Ria - Vung Tau ,2024,368.805061625
Ha Nam ,2024,393.3245217501172
Long An ,2024,150.60859174
Hai Duong ,2024,546.5119427
Thai Nguyen ,2024,167.05211239
Vinh Phuc ,2024,24.23895236
Da Nang ,2024,516.4144413600001
Hung Yen ,2024,97.82298718656251
Binh Phuoc ,2024,37.20238929
Tien Giang ,2024,184.980533
Thanh Hoa ,2024,71.638031385
Phu Tho ,2024,33.46128819
Thua Thien Hue ,2024,93.96893800000001
Nghe An ,2024,1361.7061569999998
Quang Ninh ,2024,2.744552
Phu Yen ,2024,37.314522069999995
Khanh Hoa ,2024,88.07011497999999
Quang Nam ,2024,3.52851076
Binh Thuan ,2024,5.1058911845703125
Vinh Long ,2024,31.390045
Ninh Binh ,2024,48.508623
Quang Ngai ,2024,46.20954121
Ninh Thuan ,2024,20.96
Bac Lieu ,2024,16.502125
Soc Trang ,2024,0.05054448
Tra Vinh ,2024,
Binh Dinh ,2024,2.4175
Ca Mau ,2024,0.15
Hau Giang ,2024,0.25593225
Can Tho ,2024,401.62421954999996
Thai Binh ,2024,0.589822
An Giang ,2024,116.11472400000001
Nam Dinh ,2024,
Ben Tre ,2024,5.68477545
Ha Tinh ,2024,0.004
Lam Dong ,2024,4.469
Kien Giang ,2024,
Quang Tri ,2024,9.04738188
Tuyen Quang ,2024,
Dong Thap ,2024,133.042618
Yen Bai ,2024,
Kon Tum ,2024,
Bac Kan ,2024,16.6746431
Dak Lak ,2024,
Lang Son ,2024,
Dien Bien ,2024,
Lao Cai ,2024,
Quang Binh ,2024,
Ha Giang ,2024,
Son La ,2024,6.5
Dak Nong ,2024,
Cao Bang ,2024,
Lai Chau ,2024,0.436681
Hoa Binh ,2024,
Gia Lai ,2024,15185.218183852308
